,cnLibCat,ecoCat
421,C934,自然科学研究与试验发展
422,"[TP75, C812]","[公共软件服务, 测绘服务]"
423,C81,社会人文科学研究与试验发展
424,"[TK018, C962]",社会人文科学研究与试验发展
425,"[G41, C961]",高等教育
426,C913.68,疾病预防控制及防疫活动
427,C961,社会人文科学研究与试验发展
428,"[C92, TP319]",公共软件服务
429,"[C975, F241.4]",社会人文科学研究与试验发展
430,C975,"[专用仪器仪表制造, 其他教育]"
431,"[C09, G322.9]",社会人文科学研究与试验发展
432,C961,社会人文科学研究与试验发展
433,C931.4,公共软件服务
434,"[C913.6, D632.1]",提供住宿的社会福利
435,C96,社会人文科学研究与试验发展
436,C962,社会人文科学研究与试验发展
437,C961,"[公共软件服务, 其他教育]"
438,"[C975, TP391.9]","[专用仪器仪表制造, 其他教育]"
439,C96,社会人文科学研究与试验发展
440,"[C975, TP319]",公共软件服务
441,C975,其他教育
442,C913.6,"[社会保障业, 社会人文科学研究与试验发展]"
443,"[F320.3, C96]",社会人文科学研究与试验发展
444,"[F424.3, C934]",社会人文科学研究与试验发展
445,C913.6,"[医学研究与试验发展, 疾病预防控制及防疫活动]"
446,"[TP391.78, C931.6, D631.42]",其他软件服务
447,"[TP319, C933.4]",公共软件服务
448,"[B82-052, C912.68]",社会人文科学研究与试验发展
449,C913.7,"[不提供住宿的社会福利, 社会人文科学研究与试验发展]"
450,C81,自然科学研究与试验发展
451,C961,社会人文科学研究与试验发展
452,"[C962, TP392]",公共软件服务
453,"[TP392, C934]",公共软件服务
454,C934,"[自然科学研究与试验发展, 社会人文科学研究与试验发展]"
455,C961,社会人文科学研究与试验发展
456,"[F241.4, C975]",社会人文科学研究与试验发展
457,C931.9,工程和技术研究与试验发展
458,C975,其他教育
459,C924.21,社会人文科学研究与试验发展
460,C975,其他教育
461,"[TP392, C961]","[公共软件服务, 其他教育]"
462,C934,"[工程和技术研究与试验发展, 社会人文科学研究与试验发展]"
463,C975,"[其他教育, 公共软件服务]"
464,C819,公共软件服务
465,"[C913.9, R181]","[医学研究与试验发展, 疾病预防控制及防疫活动]"
466,"[TP392, C961]",公共软件服务
467,"[C915, F83]",社会人文科学研究与试验发展
468,"[F320.3, C96]",社会人文科学研究与试验发展
469,"[C975, TP391.9]","[专用仪器仪表制造, 其他教育]"
470,C913.6,"[社会保障业, 社会人文科学研究与试验发展]"
471,"[F424.3, C934]",社会人文科学研究与试验发展
472,C975,专用仪器仪表制造
473,C924.24,社会人文科学研究与试验发展
474,C961,社会人文科学研究与试验发展
475,"[C913.9, R181]","[医学研究与试验发展, 疾病预防控制及防疫活动]"
476,C934,"[工程和技术研究与试验发展, 社会人文科学研究与试验发展]"
477,C961,社会人文科学研究与试验发展
478,C962,咨询与调查
479,C962,"[社会人文科学研究与试验发展, 公共软件服务]"
480,C961,社会人文科学研究与试验发展
481,"[TH21, C975]","[公共软件服务, 其他教育]"
482,C922,社会人文科学研究与试验发展
483,C961,社会人文科学研究与试验发展
484,C913.8,社会人文科学研究与试验发展
485,C916,公共软件服务
486,C961,社会人文科学研究与试验发展
487,C961,社会人文科学研究与试验发展
488,"[TH21, C975]","[公共软件服务, 其他教育]"
489,C962,咨询与调查
490,C961,社会人文科学研究与试验发展
491,"[F424.3, C961]",社会人文科学研究与试验发展
492,"[U492.85, C931.3]",国家行政机构
493,C913.9,社会人文科学研究与试验发展
494,"[TP319, C931.6, D926.23]","[公共软件服务, 人民法院和人民检察院]"
495,C975,其他教育
496,"[C975, TP319]","[公共软件服务, 其他教育]"
497,C961,社会人文科学研究与试验发展
498,C961,社会人文科学研究与试验发展
499,"[C962, TP319]",公共软件服务
500,"[G648, C961]",社会人文科学研究与试验发展
501,"[C975, G434]","[公共软件服务, 其他教育]"
502,"[X26, C922]","[工程和技术研究与试验发展, 工程技术与规划管理]"
503,C812,工程和技术研究与试验发展
504,C961,社会人文科学研究与试验发展
505,C91,社会人文科学研究与试验发展
506,C961,社会人文科学研究与试验发展
507,"[C962, TP319]",公共软件服务
508,C975,"[社会人文科学研究与试验发展, 中等教育]"
509,C913.9,社会人文科学研究与试验发展
510,C923,"[医学研究与试验发展, 社会人文科学研究与试验发展]"
511,"[U492.85, C931.3]",国家行政机构
512,C916,其他居民服务
513,"[F424.3, C961]",社会人文科学研究与试验发展
514,C961,社会人文科学研究与试验发展
515,C961.9,社会人文科学研究与试验发展
516,C96,社会人文科学研究与试验发展
517,"[F810.423, C931.3, TP319]","[公共软件服务, 其他教育]"
518,"[F840.684, C913.7]","[社会人文科学研究与试验发展, 社会保障业]"
519,C961,社会人文科学研究与试验发展
520,"[C961, G642]",社会人文科学研究与试验发展
521,C962,社会人文科学研究与试验发展
522,C913.13,"[社会人文科学研究与试验发展, 高等教育]"
523,"[C961, U472.32]",其他教育
524,"[TP391.78, C931.6]","[公共软件服务, 国家行政机构]"
525,"[C913.2, F241.4]",社会人文科学研究与试验发展
526,C913.69,基础研究
527,C913.8,社会人文科学研究与试验发展
528,"[R181.34, C913.5]",医学研究与试验发展
529,C975,专用仪器仪表制造
530,C961,"[其他教育, 社会人文科学研究与试验发展]"
531,C975,专用仪器仪表制造
532,C975,社会人文科学研究与试验发展
533,"[C931.9, D630.1]",公共软件服务
534,C915,社会人文科学研究与试验发展
535,C913.5,基础研究
536,C32,社会人文科学研究与试验发展
537,C916,"[公共软件服务, 其他居民服务]"
538,C964.2,基础研究
539,"[C975, TP319]","[公共软件服务, 国家行政机构]"
540,C93,社会人文科学研究与试验发展
541,"[C975, TP391.9]","[公共软件服务, 专用仪器仪表制造]"
542,C975,"[公共软件服务, 其他教育]"
543,"[C975, G434]","[公共软件服务, 其他教育]"
544,"[C961, C962, G644]",社会人文科学研究与试验发展
545,"[F249.24, C913.3]",社会人文科学研究与试验发展
546,C923,"[医学研究与试验发展, 社会人文科学研究与试验发展]"
547,C96,社会人文科学研究与试验发展
548,C975,"[社会人文科学研究与试验发展, 中等教育]"
549,C964.2,基础研究
550,C92-05,社会人文科学研究与试验发展
551,"[C975, TP319]",公共软件服务
552,C961,社会人文科学研究与试验发展
553,"[G642, C961]",高等教育
554,"[C916, TP319]","[公共软件服务, 社区自治组织]"
555,C924.23,社会人文科学研究与试验发展
556,C961,社会人文科学研究与试验发展
557,C961,社会人文科学研究与试验发展
558,C924.23,社会人文科学研究与试验发展
559,C962,社会人文科学研究与试验发展
560,"[S-03, C975]","[技术推广服务, 其他教育]"
561,"[C961.9, G316]",社会人文科学研究与试验发展
562,C962,社会人文科学研究与试验发展
563,C913.13,"[社会人文科学研究与试验发展, 高等教育]"
564,"[C961, U472.32]",其他教育
565,"[TP391.78, C931.6]","[公共软件服务, 国家行政机构]"
566,"[C913.2, F241.4]",社会人文科学研究与试验发展
567,C916,其他居民服务
568,C91,社会人文科学研究与试验发展
569,"[C975, TP319]","[公共软件服务, 其他教育]"
570,"[C975, TP319]","[专用仪器仪表制造, 公共软件服务]"
571,C915,社会人文科学研究与试验发展
572,"[C913.7, F323.89]",社会人文科学研究与试验发展
573,C96,社会人文科学研究与试验发展
574,"[D631, C975]","[公共软件服务, 国家行政机构]"
575,C931.9,公共软件服务
576,C961,社会人文科学研究与试验发展
577,C812,工程和技术研究与试验发展
578,C913.9,"[医学研究与试验发展, 疾病预防控制及防疫活动]"
579,"[C962, TP319]",公共软件服务
580,C962,社会人文科学研究与试验发展
581,C916,"[社会人文科学研究与试验发展, 国家行政机构]"
582,C961,社会人文科学研究与试验发展
583,C924.24,基础研究
584,C961.9,社会人文科学研究与试验发展
585,C913.2,社会人文科学研究与试验发展
586,C931.4,公共软件服务
587,C913.2,咨询与调查
588,C912.81,社会人文科学研究与试验发展
589,C975,其他教育
590,C931.4,公共软件服务
591,"[C962, F425.15, F427]",社会人文科学研究与试验发展
592,C961.9,社会人文科学研究与试验发展
593,"[G316, C961]",社会人文科学研究与试验发展
594,C812,"[社会人文科学研究与试验发展, 工程和技术研究与试验发展]"
595,C975,"[社会人文科学研究与试验发展, 高等教育]"
596,C975,高等教育
597,"[S-3, C975]","[互联网信息服务, 科技中介服务]"
598,"[TD79, C961, TP391.9]","[其他教育, 公共软件服务]"
599,C913.69,社会人文科学研究与试验发展
600,C961,公共软件服务
601,C975,其他教育
602,"[C975, TP391.9]","[公共软件服务, 其他教育]"
603,"[TH138, C975]",专用仪器仪表制造
604,C961,社会人文科学研究与试验发展
605,C912.81,基础研究
606,"[C975, TP391.9]","[公共软件服务, 其他教育]"
607,"[C829.22, TP319]",公共软件服务
608,C961,社会人文科学研究与试验发展
609,C962,社会人文科学研究与试验发展
610,C924.24,基础研究
611,C962,社会人文科学研究与试验发展
612,"[V355.12, C975]","[专用仪器仪表制造, 其他教育]"
613,C975,基础研究
614,"[C961, TP319]","[公共软件服务, 其他教育]"
615,"[G316, C961]",社会人文科学研究与试验发展
616,"[C975, G434]","[公共软件服务, 其他教育]"
617,C975,"[公共软件服务, 其他教育]"
618,"[C975, G434]","[其他教育, 公共软件服务]"
619,"[C975, TP315]","[公共软件服务, 社会人文科学研究与试验发展]"
620,"[C913.68, P285.9]",社会人文科学研究与试验发展
621,C961,社会人文科学研究与试验发展
622,C975,"[公共软件服务, 其他教育]"
623,"[C975, TP391.9]","[专用仪器仪表制造, 其他教育]"
624,C913.3,社会人文科学研究与试验发展
625,C924.255.1,基础研究
626,C913.6,社会人文科学研究与试验发展
627,C924.257.4,基础研究
628,C96,社会人文科学研究与试验发展
629,"[C916, TP319]",公共软件服务
630,C961.9,社会人文科学研究与试验发展
631,C961,社会人文科学研究与试验发展
632,C913.3,社会人文科学研究与试验发展
633,"[G316, C961]",社会人文科学研究与试验发展
634,"[F203.9, C931.6]","[公共软件服务, 国家行政机构]"
635,"[C975, TP315]",公共软件服务
636,C962,社会人文科学研究与试验发展
637,C924.254.5,基础研究
638,C913.6,社会人文科学研究与试验发展
639,C961,公共软件服务
640,"[G642, C961]",社会人文科学研究与试验发展
641,"[D63, C931.6]",公共软件服务
642,"[TS262.31, TS261.4, TS261.1, C961]","[酒的制造, 其他教育]"
643,C92,社会人文科学研究与试验发展
644,C916,基础研究
645,"[TM743, C975, G434]","[公共软件服务, 其他教育]"
646,C975,"[专用仪器仪表制造, 其他教育]"
647,C961,社会人文科学研究与试验发展
648,C975,"[社会人文科学研究与试验发展, 其他教育]"
649,C961,基础研究
650,C924.2,社会人文科学研究与试验发展
651,C912.82,社会人文科学研究与试验发展
652,"[C975, TP391.9]",公共软件服务
653,"[TM743, C975]","[公共软件服务, 通用仪器仪表制造]"
654,C913.2,社会人文科学研究与试验发展
655,"[C975, TP391.9]","[通用仪器仪表制造, 公共软件服务]"
656,C924.21,基础研究
657,C961,社会人文科学研究与试验发展
658,C49,基础研究
659,"[C819, TN915]","[公共软件服务, 国家行政机构]"
660,C975,高等教育
661,"[F241.2, C975]",社会人文科学研究与试验发展
662,C975,基础研究
663,"[F320.3, C975]",其他教育
664,"[C913.6, C913.7]",社会人文科学研究与试验发展
665,C975,其他教育
666,"[C975, TP391.9]","[专用仪器仪表制造, 其他教育]"
667,C924.257.4,基础研究
668,"[C913.68, P285.9]",社会人文科学研究与试验发展
669,C975,"[公共软件服务, 其他教育]"
670,C924.21,基础研究
671,"[C975, G434]","[其他教育, 公共软件服务]"
672,C924.255.1,基础研究
