,cnLibCat,ecoCat
156,"[B842.6, TP391.41]",公共软件服务
157,"[R18, B844.2]",医学研究与试验发展
158,"[B842, R193.3]","[社会人文科学研究与试验发展, 其他卫生活动]"
159,B80-05,社会人文科学研究与试验发展
160,B844.2,医学研究与试验发展
161,"[G718.5, B844.2]",高等教育
162,B241,社会人文科学研究与试验发展
163,"[B561.59, B018]",社会人文科学研究与试验发展
164,"[B842.1, Q427]",医学研究与试验发展
165,B824,社会人文科学研究与试验发展
166,B841,医学研究与试验发展
167,B844.1,"[医学研究与试验发展, 妇幼保健活动]"
168,"[B849, C913.2]",社会人文科学研究与试验发展
169,"[R395.1, B849]",医学研究与试验发展
170,"[N09, B913]","[自然科学研究与试验发展, 宗教组织]"
171,"[B804, B82-059]",社会人文科学研究与试验发展
172,B845.4,基础研究
173,"[G764, B848.5]","[妇幼保健活动, 自然科学研究与试验发展]"
174,B848,社会人文科学研究与试验发展
175,"[B848, C96]",社会人文科学研究与试验发展
176,"[R74-332, B842.3]",医学研究与试验发展
177,B846,医学研究与试验发展
178,B841.4,专用仪器仪表制造
179,"[B849, D918.5]",专用仪器仪表制造
180,"[B849, R363.16]","[医学研究与试验发展, 医院]"
181,B844.3,基础研究
182,B844.2,医学研究与试验发展
183,"[B841, R175]",医学研究与试验发展
184,"[B844.1, B848.4]",医学研究与试验发展
185,B844.2,"[初等教育, 中等教育]"
186,"[B844.1, G44]",社会人文科学研究与试验发展
187,"[R748, B844.1]",医学研究与试验发展
188,"[G615, B848.6]",社会人文科学研究与试验发展
189,"[B849:C912.6, R395.1]",社会人文科学研究与试验发展
190,B845.1,医学研究与试验发展
191,"[D916, B849]",医学研究与试验发展
192,"[C913.2, B849]",社会人文科学研究与试验发展
193,"[B842.3, TP319]",公共软件服务
194,B842.3,社会人文科学研究与试验发展
195,"[B82-05, G316]","[社会人文科学研究与试验发展, 自然科学研究与试验发展]"
196,"[R395.2, B846]",医学研究与试验发展
197,B844.1,医学研究与试验发展
198,"[B844.2, R395.6, TP317]","[其他卫生活动, 公共软件服务]"
199,"[B846, R395.6, R749.055]",社会人文科学研究与试验发展
200,B846,医学研究与试验发展
201,"[R195.4, R395.6, B841.7]",医院
202,B841.7,医学研究与试验发展
203,B844.1,医学研究与试验发展
204,"[TP391.41, B869]",数据处理
205,"[D648, B222, B821.1]",社会人文科学研究与试验发展
206,"[S3, B0, B201]",社会人文科学研究与试验发展
207,"[R59-332, B842.3]","[医学研究与试验发展, 医院]"
208,"[B841.7, R748.04]","[医院, 自然科学研究与试验发展]"
209,B845.6,自然科学研究与试验发展
210,B849,医学研究与试验发展
211,B844.1,医学研究与试验发展
212,"[R749.055, B849]",医学研究与试验发展
213,B845.1,医学研究与试验发展
214,B845.6,自然科学研究与试验发展
215,B842.1,医学研究与试验发展
216,"[B841.1, B844.1]","[医院, 自然科学研究与试验发展]"
217,B845.6,医学研究与试验发展
218,"[B841.7, F530.69]","[医院, 自然科学研究与试验发展]"
219,B80,医学研究与试验发展
220,B80,基础研究
221,B842.3-33,医学研究与试验发展
222,"[B844.2, G479]",医学研究与试验发展
223,B842.1,医学研究与试验发展
224,B842,医学研究与试验发展
225,B842.1,医学研究与试验发展
226,"[B842, B844.1]",医学研究与试验发展
227,B841.4,基础研究
228,B841.7,
229,B849,基础研究
230,B844.1,基础研究
231,"[B992, TQ320.74]",应用技术
232,"[B842, B844.1]",基础研究
